filename,d1_ratio,d2_ratio,d3_d5_ratio,high_freq_energy,peak_count,fft_0_25_ratio,fft_125_200_ratio,strike_count,offset_x_y,offset_y_z,max_x,max_y,max_z,classification
non_event_far_new_sd_v23.csv,0.517667432847191,0.248535128940217,0.23379743821259197,0.766202561787408,70,0.15844460662025703,0.2534339287096621,682,17562.194194194195,-1016.7007007007007,17288,720,960,🌬️ Likely Non-Event
mac_far_new_sd_b29.csv,0.47073269616965935,0.19048856999218652,0.3387787338381541,0.6612212661618458,8,0.23139111672275475,0.22632581644577265,81,15423.751751751752,-623.6128628628628,32767,32767,30376,🟡 Possibly Machete
non_event_far_new_sd_v16.csv,0.5195452075658906,0.2621244150382915,0.21833037739581795,0.7816696226041822,66,0.14696702392886715,0.25127801592662424,686,17558.23023023023,-1020.1091091091091,17288,652,824,🌬️ Likely Non-Event
mac_far_new_sd_b22.csv,0.3676525343998349,0.28700275470551445,0.3453447108946507,0.6546552891053494,17,0.2397641465319888,0.2201182177907315,100,15457.503503503503,-661.0255255255255,29180,32768,32767,🟡 Possibly Machete
mac_far_new_sd_b15.csv,0.3793175581487952,0.23920761211234148,0.3814748297388634,0.6185251702611367,9,0.2375130613924301,0.1930528460519646,92,15450.675425425425,-619.7907907907908,32767,32768,32767,🟡 Possibly Machete
mac_far_new_sd_b20.csv,0.6024764629711767,0.21893173822691014,0.1785917988019131,0.8214082011980869,15,0.17635997732646777,0.2563084973995011,84,15458.435435435435,-609.1071071071071,28928,16992,28228,⚠️ Vibration Detected (ambiguous)
non_event_far_new_sd_v19.csv,0.5224820036252559,0.24296886913616686,0.2345491272385773,0.7654508727614228,78,0.1621462148781916,0.2569841436071596,662,17561.857857857856,-1018.3903903903904,17288,636,820,🌬️ Likely Non-Event
mac_far_new_sd_b24.csv,0.21725416780971513,0.18008944907147006,0.6026563831188149,0.3973436168811852,17,0.31818393143323437,0.15992063728242129,81,15498.74924924925,-644.2977977977978,32767,32768,32768,⚠️ Unclassified
mac_far_new_sd_b10.csv,0.35264295325342154,0.19137388939913116,0.4559831573474473,0.5440168426525527,8,0.23729757579876887,0.21442668514102836,48,15432.157907907907,-623.9752252252252,32767,32767,32768,⚠️ Vibration Detected (ambiguous)
mac_far_new_sd_b9.csv,0.5508671829809759,0.23038368516491994,0.21874913185410413,0.7812508681458958,57,0.15815691114814365,0.24026993418228793,638,15453.691691691693,-662.3563563563564,17576,1980,2712,⚠️ Vibration Detected (ambiguous)
mac_far_new_sd_b23.csv,0.4554251769746253,0.18717550985099543,0.35739931317437934,0.6426006868256208,16,0.21716178942426015,0.21755890621197843,93,15475.675425425425,-665.7077077077078,32767,22620,17284,⚠️ Vibration Detected (ambiguous)
non_event_far_new_sd_v12.csv,0.525786969660678,0.2528738782100635,0.22133915212925845,0.7786608478707415,66,0.14591252657402012,0.24703088071239718,688,17553.72872872873,-1023.9079079079079,17308,660,844,🌬️ Likely Non-Event
non_event_far_new_sd_v17.csv,0.5175579299529082,0.26099833511028303,0.22144373493680886,0.7785562650631912,61,0.14485050979895467,0.25531988854132837,679,17559.547547547547,-1015.7137137137137,17280,692,844,🌬️ Likely Non-Event
chain_far_new_sd_c45.csv,0.6100256818578439,0.21944335936265968,0.1705309587794964,0.8294690412205036,28,0.12758978416045688,0.26767523271610655,219,16957.65965965966,-2942.3153153153153,21952,17412,30476,⚠️ Vibration Detected (ambiguous)
chain_far_new_sd_c47.csv,0.6870076462929373,0.18121976443666973,0.131772589270393,0.8682274107296071,49,0.1573114361561722,0.30151157054798644,542,17034.160660660662,-2900.849099099099,32767,32768,32768,🔧 Likely Chainsaw
mac_far_new_sd_b30.csv,0.3070444764199812,0.19974886091003993,0.49320666266997887,0.5067933373300212,16,0.2752230515943841,0.19380843953026936,79,15462.65990990991,-634.9594594594595,32767,32767,27880,🟡 Possibly Machete
non_event_far_new_sd_v18.csv,0.5176965872725608,0.2611913390519067,0.22111207367553243,0.7788879263244676,64,0.14933567365984549,0.25033712649202133,668,17558.61161161161,-1015.1831831831831,17304,632,812,🌬️ Likely Non-Event
chain_far_new_sd_c52.csv,0.7482495992989574,0.1273928582134207,0.1243575424876219,0.8756424575123781,9,0.16139598183004047,0.37424406962902285,234,16903.847847847846,-2920.122122122122,28160,27832,29224,⚠️ Possibly Chainsaw (Low Activity)
chain_far_new_sd_c41.csv,0.7194004041116636,0.16292064298914175,0.11767895289919472,0.8823210471008054,53,0.14640092410329303,0.34540702416883834,552,16819.17717717718,-2955.8465965965966,30348,31588,32768,🔧 Likely Chainsaw
non_event_far_new_sd_v4.csv,0.4908470078745603,0.2689650819208875,0.2401879102045521,0.7598120897954479,68,0.15967827207254218,0.24400128089850903,666,17534.85185185185,-1038.4714714714714,17284,652,844,🌬️ Likely Non-Event
non_event_far_new_sd_v3.csv,0.5088830488107129,0.2611260366133694,0.22999091457591764,0.7700090854240823,75,0.15445935972117258,0.24652249918799077,663,17538.205205205206,-1047.3523523523525,17304,680,868,🌬️ Likely Non-Event
non_event_far_new_sd_v24.csv,0.5212585046161309,0.2604002837868331,0.2183412115970361,0.781658788402964,69,0.14946414632134578,0.25363959222388494,697,17562.987987987988,-1015.8538538538538,17296,664,888,🌬️ Likely Non-Event
chain_far_new_sd_c46.csv,0.6347288820126952,0.22524080843786914,0.14003030954943568,0.8599696904505643,52,0.15895564592456962,0.3018637238277372,516,16978.343343343342,-2879.102102102102,32708,32180,26300,🔧 Likely Chainsaw
non_event_far_new_sd_v5.csv,0.5178515320280177,0.26790435958646175,0.2142441083855205,0.7857558916144795,70,0.14451345305054153,0.24679158772326798,668,17539.613613613612,-1034.3813813813813,17280,632,908,🌬️ Likely Non-Event
