filename,d1_ratio,d2_ratio,d3_d5_ratio,high_freq_energy,peak_count,fft_0_25_ratio,fft_125_200_ratio,strike_count,offset_x_y,offset_y_z,max_x,max_y,max_z
non_event_far_sd_t23.csv,0.5039819595673699,0.25407599014795956,0.24194205028467047,0.7580579497153295,66,0.15677008495787126,0.24419653545982092,657,17099.735735735736,-1139.5905905905906,17204,368,1328
non_event_far_sd_t24.csv,0.5094566674845663,0.2571051610161638,0.23343817149926982,0.7665618285007301,64,0.15227547539052086,0.24915633687851288,680,17097.026026026026,-1139.3053053053054,17220,300,1332
non_event_far_sd_t25.csv,0.5164124713586207,0.2623515399218939,0.22123598871948538,0.7787640112805145,86,0.14898465645511855,0.2513365500219881,679,17094.972972972973,-1143.7607607607608,17224,252,1392
mac_short_sd_j5.csv,0.4296495271830892,0.2396728898235504,0.3306775829933605,0.6693224170066396,18,0.21874217332826598,0.22602801727561556,84,17304.865865865864,-1618.0415415415416,32767,32768,21196
mac_short_sd_j6.csv,0.46749841486150856,0.2430453274896263,0.2894562576488652,0.7105437423511348,12,0.19895984606438774,0.24031791713010756,83,17271.68743743744,-1604.0415415415416,32767,32767,30248
mac_short_sd_j7.csv,0.48303133341920534,0.20823896854775029,0.3087296980330444,0.6912703019669556,22,0.2175766598044544,0.2230879914376305,69,17350.46046046046,-1589.2134634634635,32767,32768,30828
mac_short_sd_j8.csv,0.43617817578181933,0.21584133634974334,0.3479804878684374,0.6520195121315626,13,0.24264385143613698,0.23091481820053728,67,17331.662662662664,-1644.5945945945946,32767,32767,32768
mac_short_sd_j9.csv,0.3759462604540717,0.22990408508177482,0.3941496544641536,0.6058503455358465,16,0.26472338483467367,0.22554957651458704,69,17350.253003003003,-1609.7017017017017,32767,27848,32768
mac_short_sd_j10.csv,0.3841812208159621,0.16490425625793798,0.4509145229260999,0.5490854770739001,23,0.2693735882432814,0.2169630027040997,74,17246.76026026026,-1573.0763263263264,32767,32767,32768
mac_short_sd_j11.csv,0.4544693115346799,0.1849721259985909,0.3605585624667291,0.6394414375332708,24,0.25157427401466376,0.23817789672947562,64,17325.17017017017,-1583.931931931932,32767,32767,32768
mac_short_sd_j12.csv,0.4135349195326052,0.2334143535445349,0.3530507269228599,0.6469492730771401,17,0.25260401007112293,0.21653273182187857,76,17306.835085085084,-1572.7985485485485,32767,32767,32768
mac_short_sd_j13.csv,0.4045301853682925,0.17465512593744292,0.42081468869426464,0.5791853113057355,10,0.2738647026704788,0.22133995579353308,59,17359.26151151151,-1589.9056556556557,32767,32767,32768
mac_short_sd_j14.csv,0.47617412449376684,0.1897032355584321,0.3341226399478011,0.665877360052199,9,0.23414465186950503,0.2503482408183466,31,17349.663163163164,-1569.954954954955,32767,28096,32768
mac_short_sd_j15.csv,0.44422554568977707,0.19483335500768162,0.3609410993025413,0.6390589006974587,17,0.2605083291409546,0.24302909223694685,82,17350.24124124124,-1590.1734234234234,32767,32767,32768
mac_short_sd_j16.csv,0.320940787047753,0.2687417390709998,0.41031747388124723,0.5896825261187528,19,0.2863182127623972,0.18266088871625655,65,17343.455455455456,-1570.9344344344345,32767,32768,32768
mac_short_sd_j17.csv,0.37893696336732763,0.19641814779087224,0.4246448888418002,0.5753551111581998,17,0.2864794582498213,0.19663139572867372,72,17339.931931931933,-1553.2747747747749,32767,24580,32768
mac_short_sd_j18.csv,0.4287054808318405,0.19050679106042476,0.3807877281077347,0.6192122718922652,21,0.24756635630524745,0.26087956817068,61,17394.35185185185,-1581.1073573573574,32767,32767,32768
mac_short_sd_j19.csv,0.4445863208097817,0.18543653567428423,0.36997714351593397,0.630022856484066,21,0.27528143237379715,0.2088381011502134,64,17284.705205205206,-1531.9206706706707,32767,29088,32768
mac_short_sd_j20.csv,0.4992582351257977,0.19631376133193174,0.30442800354227056,0.6955719964577294,16,0.22593925949493537,0.23312469408217726,72,17298.744494494495,-1580.640890890891,32767,32767,32768
mac_short_sd_j21.csv,0.4476523640569132,0.14905024330648187,0.403297392636605,0.5967026073633951,7,0.26408425158416143,0.23214099829938453,45,17342.28128128128,-1570.1636636636636,32767,32768,32768
mac_short_sd_j22.csv,0.3619303997896606,0.21308451166235634,0.4249850885479831,0.5750149114520169,18,0.27525683150893276,0.23438119701629362,62,17297.244494494495,-1541.93993993994,32767,32767,32768
mac_short_sd_j23.csv,0.42000096172216334,0.18575752073856794,0.3942415175392687,0.6057584824607313,22,0.25266132416659254,0.2379071917360677,65,17299.666916916918,-1565.1108608608608,32767,27648,32768
mac_short_sd_j24.csv,0.3904962366240526,0.16879027962649723,0.4407134837494502,0.5592865162505498,19,0.27793144546089643,0.1928405160279857,62,17335.07957957958,-1543.715965965966,32767,32768,32768
mac_short_sd_j25.csv,0.40991375043391437,0.21828609399332505,0.3718001555727605,0.6281998444272394,16,0.24328928942126604,0.23098036434493074,62,17292.193693693695,-1526.1864364364365,30024,32767,32768
mac_med_sd_l3.csv,0.17005572463892474,0.14647611372125485,0.6834681616398204,0.3165318383601796,10,0.3741034387758101,0.1560229194025787,40,16524.864614614613,736.548048048048,32768,32768,32768
mac_med_sd_l4.csv,0.2937884718387862,0.2233346079864769,0.4828769201747369,0.5171230798252631,23,0.3039065904196774,0.1968455923821658,71,16553.30155155155,719.958958958959,32767,32768,32768
mac_med_sd_l5.csv,0.24712327804343123,0.15479662566402114,0.5980800962925475,0.40191990370745234,13,0.3504419563617223,0.18012959264561035,66,16512.793293293293,723.7012012012012,32767,32768,32768
mac_med_sd_l6.csv,0.24920923974231649,0.23978015556790452,0.511010604689779,0.488989395310221,31,0.33699288363733026,0.15639965397101518,80,16496.587587587586,845.3200700700701,32768,32768,32768
mac_med_sd_l7.csv,0.2529614598272511,0.1653824795432129,0.581656060629536,0.418343939370464,19,0.36269299278151296,0.16202657410790694,63,16589.52152152152,711.2947947947948,32768,32768,32768
mac_med_sd_l8.csv,0.235715507554066,0.1857557020951116,0.5785287903508225,0.4214712096491776,22,0.3300814736736846,0.16467842791370996,79,16510.974474474475,817.8003003003003,32768,32768,32768
mac_med_sd_l9.csv,0.2607110346781281,0.23048751903413467,0.5088014462877373,0.4911985537122628,19,0.3360803529789771,0.1582743843779081,82,16514.23123123123,751.5738238238238,32768,32768,32768
