timestamp_ms,accel_x,accel_y,accel_z,voltage,soc
3,2612,-116,16292,4.12,91.3
6,1200,-4,19252,4.12,91.3
9,1460,-312,18724,4.12,91.3
16,2460,-136,16892,4.12,91.3
19,2136,276,17564,4.12,91.3
22,1900,-44,17664,4.12,91.3
25,1888,-176,18004,4.12,91.3
28,1948,-128,17800,4.12,91.3
31,2008,-12,17732,4.12,91.3
34,2232,-128,17868,4.12,91.3
37,1996,-108,18064,4.12,91.3
40,1704,-60,18004,4.12,91.3
43,1888,-16,17556,4.12,91.3
46,1888,-72,17932,4.12,91.3
49,2200,-200,17564,4.12,91.3
52,2244,-60,17412,4.12,91.3
55,2116,32,17500,4.12,91.3
59,2024,-160,18096,4.12,91.3
62,1860,-104,18428,4.12,91.3
65,1996,-136,18120,4.12,91.3
68,2304,-80,17144,4.12,91.3
73,1860,-124,18060,4.12,91.3
76,1984,-100,17788,4.12,91.3
79,2080,-56,17536,4.12,91.3
82,2304,-96,17348,4.12,91.3
85,2124,-168,17856,4.12,91.3
88,1880,-92,18124,4.12,91.3
91,2068,-168,17788,4.12,91.3
94,2140,-236,17712,4.12,91.3
97,2036,-260,17456,4.12,91.3
101,2248,-256,17648,4.12,91.3
104,2124,-180,17760,4.12,91.3
107,2080,-132,17840,4.12,91.3
110,1984,-88,17816,4.12,91.3
113,2024,-128,17880,4.12,91.3
116,2160,-136,17808,4.12,91.3
119,2136,-172,17672,4.12,91.3
122,2016,-108,17804,4.12,91.3
125,2084,-184,17660,4.12,91.3
131,2092,-124,17880,4.12,91.3
134,2208,-56,17760,4.12,91.3
137,2112,-32,17672,4.12,91.3
140,2052,-124,17960,4.12,91.3
143,1944,-52,17944,4.12,91.3
146,2052,-108,17816,4.12,91.3
149,2124,-4,17672,4.12,91.3
152,2084,0,17804,4.12,91.3
155,2020,-80,17848,4.12,91.3
158,2012,-56,17908,4.12,91.3
161,2036,0,17816,4.12,91.3
164,2040,-48,17852,4.12,91.3
167,2040,-28,18016,4.12,91.3
171,2028,-88,17744,4.12,91.3
174,2048,-96,17836,4.12,91.3
177,1952,-116,17872,4.12,91.3
180,2000,-40,17768,4.12,91.3
183,2064,-100,17784,4.12,91.3
188,1980,-36,17900,4.12,91.3
191,2096,-140,17932,4.12,91.3
194,1896,-8,17788,4.12,91.3
197,2000,-148,17792,4.12,91.3
201,2040,-48,17808,4.12,91.3
204,2108,-200,17736,4.12,91.3
207,2008,-112,17884,4.12,91.3
210,2068,-144,17820,4.12,91.3
213,2060,-88,17976,4.12,91.3
216,1988,-128,17816,4.12,91.3
219,1964,-160,17868,4.12,91.3
222,2060,-184,17820,4.12,91.3
225,2068,-228,17672,4.12,91.3
228,2092,-104,17748,4.12,91.3
231,2200,0,17696,4.12,91.3
234,2120,-176,17880,4.12,91.3
237,2044,-284,17816,4.12,91.3
243,2080,-172,17896,4.12,91.3
246,2136,-56,17776,4.12,91.3
249,2112,-108,17700,4.12,91.3
252,2020,-64,17832,4.12,91.3
255,2028,-140,17756,4.12,91.3
258,2016,-156,17868,4.12,91.3
261,2044,-168,17808,4.12,91.3
264,2092,-76,17844,4.12,91.3
268,2088,-116,17804,4.12,91.3
271,2100,-172,17832,4.12,91.3
274,2068,-108,17688,4.12,91.3
277,2060,-92,17784,4.12,91.3
280,2048,-28,17728,4.12,91.3
283,1976,-168,17816,4.12,91.3
286,2020,-208,17896,4.12,91.3
289,2116,-48,17684,4.12,91.3
292,2112,56,17460,4.12,91.3
298,1984,-32,18148,4.12,91.3
301,2316,32,16744,4.12,91.3
304,1620,24,18448,4.12,91.3
307,1316,-392,19740,4.12,91.3
310,1760,-196,17752,4.12,91.3
313,2216,272,16956,4.12,91.3
316,2576,-88,16204,4.12,91.3
319,1272,-176,19024,4.12,91.3
322,1596,-224,18264,4.12,91.3
325,1848,-304,18312,4.12,91.3
328,2120,-280,17624,4.12,91.3
331,2352,-72,17360,4.12,91.3
334,2004,36,17704,4.12,91.3
338,2036,-256,17536,4.12,91.3
341,2008,-228,18144,4.12,91.3
344,1928,-228,17772,4.12,91.3
347,2084,-164,17704,4.12,91.3
350,2400,-152,17640,4.12,91.3
355,1792,-232,18248,4.12,91.3
358,1920,-224,18168,4.12,91.3
361,2188,-140,17604,4.12,91.3
364,2576,-156,17132,4.12,91.3
368,2332,-100,17136,4.12,91.3
371,1836,-20,18088,4.12,91.3
374,1900,-168,18240,4.12,91.3
377,1912,-144,18248,4.12,91.3
380,2088,-128,17932,4.12,91.3
383,2464,24,17236,4.12,91.3
386,2080,-28,17700,4.12,91.3
389,2056,-200,17832,4.12,91.3
392,1868,-120,18064,4.12,91.3
395,2068,-208,18056,4.12,91.3
399,2248,-36,17692,4.12,91.3
402,2296,-48,17564,4.12,91.3
405,1916,-188,17728,4.12,91.3
